metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09413661002985493
sanity.close_values_probability.score,0.900105152471083
sanity.distant_values_probability.score,0.0013144058885383807
stats.jensenshannon_dist.marginal,0.005020993214601335
stats.inv_kl_divergence.marginal,0.9581270007622976
stats.ks_test.marginal,0.9449289846509642
stats.max_mean_discrepancy.joint,0.0018240769073038763
stats.wasserstein_dist.joint,0.7315343618392944
stats.alpha_precision.delta_precision_alpha_OC,0.6468875502008031
stats.alpha_precision.delta_coverage_beta_OC,0.4042168674698794
stats.alpha_precision.authenticity_OC,0.5406626506024096
stats.alpha_precision.delta_precision_alpha_naive,0.9468667774546462
stats.alpha_precision.delta_coverage_beta_naive,0.43805220883534124
stats.alpha_precision.authenticity_naive,0.5617469879518072
stats.prdc.precision,0.9653614457831325
stats.prdc.recall,0.9568874868559412
stats.prdc.density,0.9843373493975904
stats.prdc.coverage,0.4547844374342797
performance.linear_model.gt,0.8280465056642342
performance.linear_model.syn_id,0.8254762201701447
performance.linear_model.syn_ood,0.8253690938178474
performance.mlp.gt,0.6730413353499314
performance.mlp.syn_id,0.7490272034571165
performance.mlp.syn_ood,0.7357180830865041
performance.xgb.gt,0.9172376192597799
performance.xgb.syn_id,0.8781477843532377
performance.xgb.syn_ood,0.877906258100164
performance.feat_rank_distance.corr,0.445542568642368
performance.feat_rank_distance.pvalue,1.4687110297459862e-75
detection.detection_xgb.mean,0.7572084031385105
detection.detection_gmm.mean,0.5091984999468411
detection.detection_linear.mean,0.5647687754082059
privacy.delta-presence.score,11.727272721942148
privacy.k-anonymization.gt,14.0
privacy.k-anonymization.syn,1.00000001
privacy.k-map.score,3.0
privacy.distinct l-diversity.gt,14.0
privacy.distinct l-diversity.syn,1.00000001
privacy.identifiability_score.,0.11961093585699265
privacy.identifiability_score._privacy.identifiability_score.OC,0.14879074658254468
prdc_precision,0.8479
prdc_recall,0.9067
nn_identifiability,0.5273
coverage_score,1.0
mmd,0.0023
