metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.0059227133611604735,0.013285673765091087,0.009679306392882277,0.003850538990749177
sanity.close_values_probability.score,0.9920292261707074,0.9946861507804716,0.9929840584523415,0.0011693031204626097
sanity.distant_values_probability.score,0.00033211557622052476,0.0034872135503155096,0.0017020923281301891,0.0016178210722545647
stats.jensenshannon_dist.marginal,0.0041059554883830915,0.006180849535044349,0.005100771520860985,0.0010867709267037727
stats.inv_kl_divergence.marginal,0.8754425540337817,0.8918618239171522,0.884238558006647,0.00858633329293096
stats.ks_test.marginal,0.9197089781910772,0.9415633292640978,0.9310052564214201,0.011280005762380278
stats.max_mean_discrepancy.joint,0.0010457354734188132,0.0012318426283714746,0.001116676569240715,8.074302313783698e-05
stats.wasserstein_dist.joint,1.7982957363128662,1.81037437915802,1.8036710917949677,0.004990368938906746
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.9260450574712644,0.47967712466556667,0.5161115330466122
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.4750473100838064,0.22812182752095164,0.2630357391902522
stats.alpha_precision.authenticity_OC,0.0,0.5216,0.25387380373073803,0.29246997894552207
stats.alpha_precision.delta_precision_alpha_naive,0.95584,0.9786969451203028,0.9712379479390582,0.010399697845878395
stats.alpha_precision.delta_coverage_beta_naive,0.23306666666666664,0.26890846010141456,0.2543849090237317,0.016574425351489563
stats.alpha_precision.authenticity_naive,0.6058394160583942,0.6264,0.6157815513724848,0.010142565748187253
stats.prdc.precision,0.9807846277021617,0.9952,0.988360309399182,0.0059302618921597
stats.prdc.recall,0.9319163068747924,0.9392228495516439,0.9358186648953836,0.0032891740322695674
stats.prdc.density,0.9926341072858288,1.0137600000000002,1.0001759153048313,0.009808503514506756
stats.prdc.coverage,0.38874128196612423,0.4789106609099967,0.43370142809697776,0.03811918527467316
performance.linear_model.gt,0.7135184390739095,0.7135184390739095,0.7135184390739095,0.0
performance.linear_model.syn_id,0.6815832472966132,0.7397348613430573,0.7084197834120419,0.024570058500177735
performance.linear_model.syn_ood,0.6815568407317445,0.7394344431313359,0.7083427987245219,0.024463420084301486
performance.mlp.gt,0.49823424685520823,0.49823424685520823,0.49823424685520823,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.909559206620799,0.909559206620799,0.909559206620799,0.0
performance.xgb.syn_id,0.824081142034793,0.8538425670163725,0.8414028286000612,0.013148813440597297
performance.xgb.syn_ood,0.8244769562197114,0.8538757935261261,0.8416682942475627,0.01301895936561388
performance.feat_rank_distance.corr,0.1933245750318556,0.3655710755679573,0.29283468296241455,0.07561163985276899
performance.feat_rank_distance.pvalue,1.4785744950081296e-80,9.029156909651366e-24,2.2572892274128415e-24,4.514578454825683e-24
detection.detection_xgb.mean,0.8992494237703074,0.9401060294178466,0.917791214507203,0.018794474501685473
detection.detection_gmm.mean,0.5017615946857285,0.5186452064349816,0.5090059202584765,0.0071961757491581235
detection.detection_linear.mean,0.5172489429021969,0.5591735823878909,0.5391223057583513,0.017179775225228747
privacy.delta-presence.score,7.644444442745679,11.333333295555557,9.566257029199024,1.9193035064439845
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0
privacy.k-anonymization.syn,3.00000001,6.00000001,3.75000001,1.5
privacy.k-map.score,3.0,11.0,7.25,3.5
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0
privacy.distinct l-diversity.syn,3.00000001,6.00000001,3.75000001,1.5
privacy.identifiability_score.,0.09946861507804716,0.12089006974427101,0.11084357356360014,0.00887283295077552
privacy.identifiability_score._privacy.identifiability_score.OC,0.13434075058120226,0.16389903686482896,0.15003321155762206,0.013009508764887271
prdc_precision,0.4992,0.6139,0.5573999999999999,0.05855920081421876
prdc_recall,0.5071,0.5566,0.5423,0.02373506547986193
nn_identifiability,0.5863,0.6532,0.621125,0.033557152739766206
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0028,0.0104,0.0067,0.003671511950137164
