metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.017752568094853656
sanity.close_values_probability.score,0.9916971105944868
sanity.distant_values_probability.score,0.0036532713384257723
stats.jensenshannon_dist.marginal,0.00469708947921992
stats.inv_kl_divergence.marginal,0.8758311454300686
stats.ks_test.marginal,0.9344375069190745
stats.max_mean_discrepancy.joint,0.0021693295533574248
stats.wasserstein_dist.joint,2.1695687770843506
stats.alpha_precision.delta_precision_alpha_OC,0.9378804597701149
stats.alpha_precision.delta_coverage_beta_OC,0.44786666666666664
stats.alpha_precision.authenticity_OC,0.538
stats.alpha_precision.delta_precision_alpha_naive,0.9701425287356322
stats.alpha_precision.delta_coverage_beta_naive,0.40013333333333323
stats.alpha_precision.authenticity_naive,0.526
stats.prdc.precision,0.992
stats.prdc.recall,0.9541680504815676
stats.prdc.density,1.002
stats.prdc.coverage,0.24028561939554965
performance.linear_model.gt,0.7135184390739095
performance.linear_model.syn_id,0.7217078045683747
performance.linear_model.syn_ood,0.7219391533357948
performance.mlp.gt,0.49823424685520823
performance.mlp.syn_id,0.5
performance.mlp.syn_ood,0.5
performance.xgb.gt,0.909559206620799
performance.xgb.syn_id,0.8465791331748468
performance.xgb.syn_ood,0.8465315011863215
performance.feat_rank_distance.corr,0.38820662868810557
performance.feat_rank_distance.pvalue,1.3423904674916006e-90
detection.detection_xgb.mean,0.7503066348685572
detection.detection_gmm.mean,0.5237296067051737
detection.detection_linear.mean,0.5025016004742145
privacy.delta-presence.score,20.399999986399997
privacy.k-anonymization.gt,4.0
privacy.k-anonymization.syn,1.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,4.0
privacy.distinct l-diversity.syn,1.00000001
privacy.identifiability_score.,0.05147791431418133
privacy.identifiability_score._privacy.identifiability_score.OC,0.07074061773497177
prdc_precision,0.528
prdc_recall,0.7331
nn_identifiability,0.6404
coverage_score,1.0
mmd,0.002
