metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09504950219007675
sanity.close_values_probability.score,0.8953732912723449
sanity.distant_values_probability.score,0.0013144058885383807
stats.jensenshannon_dist.marginal,0.0051914573352679
stats.inv_kl_divergence.marginal,0.9548551720041705
stats.ks_test.marginal,0.9426020687280235
stats.max_mean_discrepancy.joint,0.0022723526430013055
stats.wasserstein_dist.joint,0.7851934432983398
stats.alpha_precision.delta_precision_alpha_OC,0.6807228915662651
stats.alpha_precision.delta_coverage_beta_OC,0.39892904953145925
stats.alpha_precision.authenticity_OC,0.5140562248995983
stats.alpha_precision.delta_precision_alpha_naive,0.940746895628491
stats.alpha_precision.delta_coverage_beta_naive,0.46425702811244973
stats.alpha_precision.authenticity_naive,0.5080321285140562
stats.prdc.precision,0.9718875502008032
stats.prdc.recall,0.9784437434279706
stats.prdc.density,0.9730923694779117
stats.prdc.coverage,0.43112513144058884
performance.linear_model.gt,0.8280465056642342
performance.linear_model.syn_id,0.8202263727462193
performance.linear_model.syn_ood,0.8200498055345701
performance.mlp.gt,0.6730413353499314
performance.mlp.syn_id,0.5786928936597343
performance.mlp.syn_ood,0.6248272195640616
performance.xgb.gt,0.9172376192597799
performance.xgb.syn_id,0.8806730441700589
performance.xgb.syn_ood,0.8805029411954621
performance.feat_rank_distance.corr,0.25270765613112933
performance.feat_rank_distance.pvalue,1.7548492709207845e-25
detection.detection_xgb.mean,0.6469480052792955
detection.detection_gmm.mean,0.5127433119492875
detection.detection_linear.mean,0.570449232032616
privacy.delta-presence.score,17.19999998853333
privacy.k-anonymization.gt,14.0
privacy.k-anonymization.syn,1.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,14.0
privacy.distinct l-diversity.syn,1.00000001
privacy.identifiability_score.,0.11067297581493166
privacy.identifiability_score._privacy.identifiability_score.OC,0.11251314405888538
prdc_precision,0.8454
prdc_recall,0.9132
nn_identifiability,0.534
coverage_score,1.0
mmd,0.0009
