metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.2068412173181242
sanity.close_values_probability.score,0.5661424606845513
sanity.distant_values_probability.score,0.0018501387604070306
stats.jensenshannon_dist.marginal,0.007990595936457299
stats.inv_kl_divergence.marginal,0.9683909481514051
stats.ks_test.marginal,0.9175984533556477
stats.max_mean_discrepancy.joint,0.005773458618945709
stats.wasserstein_dist.joint,0.036265529692173004
stats.alpha_precision.delta_precision_alpha_OC,0.7919778699861688
stats.alpha_precision.delta_coverage_beta_OC,0.39585062240663904
stats.alpha_precision.authenticity_OC,0.5684647302904564
stats.alpha_precision.delta_precision_alpha_naive,0.9085292761641309
stats.alpha_precision.delta_coverage_beta_naive,0.33711387736284004
stats.alpha_precision.authenticity_naive,0.6154910096818811
stats.prdc.precision,0.9087136929460581
stats.prdc.recall,0.9787234042553191
stats.prdc.density,0.7748271092669433
stats.prdc.coverage,0.7872340425531915
performance.linear_model.gt,0.8229259663143148
performance.linear_model.syn_id,0.8179231404073326
performance.linear_model.syn_ood,0.8181339505355659
performance.mlp.gt,0.7811703360489194
performance.mlp.syn_id,0.6656671372810585
performance.mlp.syn_ood,0.6847165991902834
performance.xgb.gt,0.9193500817760143
performance.xgb.syn_id,0.9005351618516547
performance.xgb.syn_ood,0.8994156429303966
performance.feat_rank_distance.corr,0.36053681546109834
performance.feat_rank_distance.pvalue,2.7381876748447613e-15
detection.detection_xgb.mean,0.7734112015097446
detection.detection_gmm.mean,0.5041746894534328
detection.detection_linear.mean,0.5401714153128533
privacy.delta-presence.score,2.3333333326262626
privacy.k-anonymization.gt,21.0
privacy.k-anonymization.syn,23.00000001
privacy.k-map.score,11.0
privacy.distinct l-diversity.gt,21.0
privacy.distinct l-diversity.syn,23.00000001
privacy.identifiability_score.,0.26179463459759483
privacy.identifiability_score._privacy.identifiability_score.OC,0.3524514338575393
prdc_precision,0.7732
prdc_recall,0.8908
nn_identifiability,0.6717
coverage_score,1.0
mmd,0.0004
