metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.006440848202747484
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.010545983950823018
stats.inv_kl_divergence.marginal,0.880860219538969
stats.ks_test.marginal,0.8774417249417249
stats.max_mean_discrepancy.joint,0.004568851437385867
stats.wasserstein_dist.joint,0.03300405666232109
stats.alpha_precision.delta_precision_alpha_OC,0.9233507488679903
stats.alpha_precision.delta_coverage_beta_OC,0.455959595959596
stats.alpha_precision.authenticity_OC,0.5303030303030303
stats.alpha_precision.delta_precision_alpha_naive,0.9384117032392895
stats.alpha_precision.delta_coverage_beta_naive,0.43919191919191924
stats.alpha_precision.authenticity_naive,0.5606060606060606
stats.prdc.precision,1.0
stats.prdc.recall,0.9181818181818182
stats.prdc.density,1.0292307692307694
stats.prdc.coverage,1.0
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5266863785350651
performance.linear_model.syn_ood,0.5199488501144003
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-0.925849745361049
performance.mlp.syn_ood,-1.3085693118957495
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.37247806742798606
performance.xgb.syn_ood,0.37034766556822485
performance.feat_rank_distance.corr,0.9759000729485332
performance.feat_rank_distance.pvalue,0.002379816463809705
detection.detection_xgb.mean,0.8015850815850817
detection.detection_gmm.mean,0.5214685314685316
detection.detection_linear.mean,0.6552680652680652
privacy.delta-presence.score,1.6499999991749998
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,4.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,4.00000001
privacy.identifiability_score.,0.5393939393939394
privacy.identifiability_score._privacy.identifiability_score.OC,0.5242424242424243
prdc_precision,0.8677
prdc_recall,0.8364
nn_identifiability,0.5898
coverage_score,1.0
mmd,0.0301
