metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.006986817284110191
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.011265101619165621
stats.inv_kl_divergence.marginal,0.8695387025827808
stats.ks_test.marginal,0.861522198731501
stats.max_mean_discrepancy.joint,0.004585498030603493
stats.wasserstein_dist.joint,0.04593115299940109
stats.alpha_precision.delta_precision_alpha_OC,0.9620062695924765
stats.alpha_precision.delta_coverage_beta_OC,0.4365656565656566
stats.alpha_precision.authenticity_OC,0.593939393939394
stats.alpha_precision.delta_precision_alpha_naive,0.9396029258098224
stats.alpha_precision.delta_coverage_beta_naive,0.39676767676767677
stats.alpha_precision.authenticity_naive,0.5575757575757576
stats.prdc.precision,1.0
stats.prdc.recall,0.9454545454545454
stats.prdc.density,1.0356589147286823
stats.prdc.coverage,0.9878787878787879
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5032508177600119
performance.linear_model.syn_ood,0.489250918380967
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-0.9286324461164674
performance.mlp.syn_ood,-1.312411101126945
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.2423443378342122
performance.xgb.syn_ood,0.26169826245674704
performance.feat_rank_distance.corr,0.8999999999999999
performance.feat_rank_distance.pvalue,0.005693166928512074
detection.detection_xgb.mean,0.815621329574818
detection.detection_gmm.mean,0.5283533004463237
detection.detection_linear.mean,0.6590086915668312
privacy.delta-presence.score,2.999999985
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,11.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,11.00000001
privacy.identifiability_score.,0.4818181818181818
privacy.identifiability_score._privacy.identifiability_score.OC,0.5242424242424243
prdc_precision,0.8682
prdc_recall,0.8424
nn_identifiability,0.5942
coverage_score,1.0
mmd,0.0456
