metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03818723158544241
sanity.close_values_probability.score,0.9835265405735204
sanity.distant_values_probability.score,0.0012202562538133007
stats.jensenshannon_dist.marginal,0.0035997213997433636
stats.inv_kl_divergence.marginal,0.948702689710528
stats.ks_test.marginal,0.8905931379665936
stats.max_mean_discrepancy.joint,0.0018220243623857314
stats.wasserstein_dist.joint,0.2674296796321869
stats.alpha_precision.delta_precision_alpha_OC,0.6338892469653025
stats.alpha_precision.delta_coverage_beta_OC,0.6252873563218392
stats.alpha_precision.authenticity_OC,0.32009345794392524
stats.alpha_precision.delta_precision_alpha_naive,0.9500322268772156
stats.alpha_precision.delta_coverage_beta_naive,0.3499221183800624
stats.alpha_precision.authenticity_naive,0.5514018691588785
stats.prdc.precision,0.8738317757009346
stats.prdc.recall,0.9566809029896278
stats.prdc.density,0.7705607476635514
stats.prdc.coverage,0.6699206833435022
performance.linear_model.gt,0.6775116107744574
performance.linear_model.syn_id,0.47572463788701286
performance.linear_model.syn_ood,0.4462125298814767
performance.mlp.gt,-6192.146104570998
performance.mlp.syn_id,-12730.14110106444
performance.mlp.syn_ood,-13473.821006669974
performance.xgb.gt,0.955559134422183
performance.xgb.syn_id,0.944084346053156
performance.xgb.syn_ood,0.9422002082618912
performance.feat_rank_distance.corr,0.606060606060606
performance.feat_rank_distance.pvalue,0.005380307706696595
detection.detection_xgb.mean,0.9416225529895919
detection.detection_gmm.mean,0.5237567226112448
detection.detection_linear.mean,0.5777904647203638
privacy.delta-presence.score,3.3888888870061726
privacy.k-anonymization.gt,3.0
privacy.k-anonymization.syn,7.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,3.0
privacy.distinct l-diversity.syn,7.00000001
privacy.identifiability_score.,0.19646125686394142
privacy.identifiability_score._privacy.identifiability_score.OC,0.20073215375228798
prdc_precision,0.5946
prdc_recall,0.8041
nn_identifiability,0.5858
coverage_score,1.0
mmd,0.0033
