metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.24508843357070903
sanity.close_values_probability.score,0.43108233117483813
sanity.distant_values_probability.score,0.0074005550416281225
stats.jensenshannon_dist.marginal,0.006881961701553859
stats.inv_kl_divergence.marginal,0.9772022947176836
stats.ks_test.marginal,0.9261985815602838
stats.max_mean_discrepancy.joint,0.004316913196692779
stats.wasserstein_dist.joint,0.069224052131176
stats.alpha_precision.delta_precision_alpha_OC,0.8373333333333334
stats.alpha_precision.delta_coverage_beta_OC,0.4370666666666665
stats.alpha_precision.authenticity_OC,0.536
stats.alpha_precision.delta_precision_alpha_naive,0.9204
stats.alpha_precision.delta_coverage_beta_naive,0.37280000000000013
stats.alpha_precision.authenticity_naive,0.542
stats.prdc.precision,0.9
stats.prdc.recall,0.9898242368177613
stats.prdc.density,0.7832
stats.prdc.coverage,0.7770582793709528
performance.linear_model.gt,0.8229259663143148
performance.linear_model.syn_id,0.8143081769297297
performance.linear_model.syn_ood,0.8144550290572969
performance.mlp.gt,0.7811703360489194
performance.mlp.syn_id,0.7733966721452475
performance.mlp.syn_ood,0.722419028340081
performance.xgb.gt,0.9193500817760143
performance.xgb.syn_id,0.8831919668423979
performance.xgb.syn_ood,0.882295689834303
performance.feat_rank_distance.corr,0.25701423121342115
performance.feat_rank_distance.pvalue,1.768227517842726e-08
detection.detection_xgb.mean,0.6808124679979519
detection.detection_gmm.mean,0.5056421317630995
detection.detection_linear.mean,0.5280443761734084
privacy.delta-presence.score,2.999999998125
privacy.k-anonymization.gt,21.0
privacy.k-anonymization.syn,14.00000001
privacy.k-map.score,7.0
privacy.distinct l-diversity.gt,21.0
privacy.distinct l-diversity.syn,14.00000001
privacy.identifiability_score.,0.2432932469935245
privacy.identifiability_score._privacy.identifiability_score.OC,0.2895467160037003
prdc_precision,0.766
prdc_recall,0.926
nn_identifiability,0.6558
coverage_score,1.0
mmd,0.0
