metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.18023931613822486
sanity.close_values_probability.score,0.6604995374653099
sanity.distant_values_probability.score,0.0009250693802035153
stats.jensenshannon_dist.marginal,0.008248479053468117
stats.inv_kl_divergence.marginal,0.969853499056013
stats.ks_test.marginal,0.9167533148319457
stats.max_mean_discrepancy.joint,0.004764756057308889
stats.wasserstein_dist.joint,0.06766936928033829
stats.alpha_precision.delta_precision_alpha_OC,0.8330666666666666
stats.alpha_precision.delta_coverage_beta_OC,0.43666666666666676
stats.alpha_precision.authenticity_OC,0.524
stats.alpha_precision.delta_precision_alpha_naive,0.9105333333333333
stats.alpha_precision.delta_coverage_beta_naive,0.3733333333333334
stats.alpha_precision.authenticity_naive,0.518
stats.prdc.precision,0.908
stats.prdc.recall,0.9925994449583718
stats.prdc.density,0.7784
stats.prdc.coverage,0.7696577243293247
performance.linear_model.gt,0.8229259663143148
performance.linear_model.syn_id,0.8100762890105964
performance.linear_model.syn_ood,0.8108303449339088
performance.mlp.gt,0.7811703360489194
performance.mlp.syn_id,0.751556649568835
performance.mlp.syn_ood,0.6987854251012147
performance.xgb.gt,0.9193500817760143
performance.xgb.syn_id,0.891323956849518
performance.xgb.syn_ood,0.8906188563255759
performance.feat_rank_distance.corr,0.31148380517416735
performance.feat_rank_distance.pvalue,8.688002818722028e-12
detection.detection_xgb.mean,0.6861029185867895
detection.detection_gmm.mean,0.5282066905615291
detection.detection_linear.mean,0.5403451954258406
privacy.delta-presence.score,2.999999998125
privacy.k-anonymization.gt,21.0
privacy.k-anonymization.syn,8.00000001
privacy.k-map.score,7.0
privacy.distinct l-diversity.gt,21.0
privacy.distinct l-diversity.syn,8.00000001
privacy.identifiability_score.,0.23681776133209992
privacy.identifiability_score._privacy.identifiability_score.OC,0.28769657724329323
prdc_precision,0.784
prdc_recall,0.9334
nn_identifiability,0.6531
coverage_score,1.0
mmd,0.0005
