metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007383784944211872
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.01165871036761393
stats.inv_kl_divergence.marginal,0.8794969855296042
stats.ks_test.marginal,0.8715193496679643
stats.max_mean_discrepancy.joint,0.004402624080559126
stats.wasserstein_dist.joint,0.04646740108728409
stats.alpha_precision.delta_precision_alpha_OC,0.9365726227795192
stats.alpha_precision.delta_coverage_beta_OC,0.3482828282828282
stats.alpha_precision.authenticity_OC,0.5606060606060606
stats.alpha_precision.delta_precision_alpha_naive,0.9040891675374434
stats.alpha_precision.delta_coverage_beta_naive,0.40181818181818185
stats.alpha_precision.authenticity_naive,0.5484848484848485
stats.prdc.precision,1.0
stats.prdc.recall,0.9303030303030303
stats.prdc.density,1.043073047858942
stats.prdc.coverage,1.0
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5055911895347821
performance.linear_model.syn_ood,0.4938343784992664
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-0.9144865424705577
performance.mlp.syn_ood,-1.2927556775703493
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.33465652337315566
performance.xgb.syn_ood,0.35075809070709213
performance.feat_rank_distance.corr,0.7807200583588265
performance.feat_rank_distance.pvalue,0.015074907310598048
detection.detection_xgb.mean,0.8367560245396405
detection.detection_gmm.mean,0.48162584768149613
detection.detection_linear.mean,0.6188124377281291
privacy.delta-presence.score,2.999999985
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,1.00000001
privacy.k-map.score,1.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,1.00000001
privacy.identifiability_score.,0.5636363636363636
privacy.identifiability_score._privacy.identifiability_score.OC,0.5727272727272728
prdc_precision,0.8615
prdc_recall,0.7758
nn_identifiability,0.5817
coverage_score,1.0
mmd,0.018
