metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03308781321380236
sanity.close_values_probability.score,0.9865771812080537
sanity.distant_values_probability.score,0.0006101281269066504
stats.jensenshannon_dist.marginal,0.004958401531084827
stats.inv_kl_divergence.marginal,0.959403970110779
stats.ks_test.marginal,0.8803005127521513
stats.max_mean_discrepancy.joint,0.0020503159603598962
stats.wasserstein_dist.joint,0.3389133810997009
stats.alpha_precision.delta_precision_alpha_OC,0.35805080652950827
stats.alpha_precision.delta_coverage_beta_OC,0.24121510673234792
stats.alpha_precision.authenticity_OC,0.13445378151260504
stats.alpha_precision.delta_precision_alpha_naive,0.9666634469879906
stats.alpha_precision.delta_coverage_beta_naive,0.38926237161531285
stats.alpha_precision.authenticity_naive,0.530812324929972
stats.prdc.precision,0.8711484593837535
stats.prdc.recall,0.9713239780353874
stats.prdc.density,0.765546218487395
stats.prdc.coverage,0.6449054301403294
performance.linear_model.gt,0.6775116107744574
performance.linear_model.syn_id,0.387457297094476
performance.linear_model.syn_ood,0.3528620717431171
performance.mlp.gt,-6192.146104570998
performance.mlp.syn_id,-6593.776259461968
performance.mlp.syn_ood,-6652.441555233849
performance.xgb.gt,0.955559134422183
performance.xgb.syn_id,0.939621790241427
performance.xgb.syn_ood,0.9376693833001595
performance.feat_rank_distance.corr,0.2424242424242424
performance.feat_rank_distance.pvalue,0.3108100139957779
detection.detection_xgb.mean,0.9177413822414279
detection.detection_gmm.mean,0.49643738610661375
detection.detection_linear.mean,0.5943369136444516
privacy.delta-presence.score,6.499999989166667
privacy.k-anonymization.gt,3.0
privacy.k-anonymization.syn,4.00000001
privacy.k-map.score,4.0
privacy.distinct l-diversity.gt,3.0
privacy.distinct l-diversity.syn,4.00000001
privacy.identifiability_score.,0.18181818181818182
privacy.identifiability_score._privacy.identifiability_score.OC,0.03843807199511898
prdc_precision,0.5812
prdc_recall,0.6632
nn_identifiability,0.608
coverage_score,1.0
mmd,0.0043
