metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03678631321019797
sanity.close_values_probability.score,0.9804758999389872
sanity.distant_values_probability.score,0.0006101281269066504
stats.jensenshannon_dist.marginal,0.0045543673101175125
stats.inv_kl_divergence.marginal,0.9535680621509968
stats.ks_test.marginal,0.899600615881196
stats.max_mean_discrepancy.joint,0.0022221048073393247
stats.wasserstein_dist.joint,0.35055673122406006
stats.alpha_precision.delta_precision_alpha_OC,0.09579667644183776
stats.alpha_precision.delta_coverage_beta_OC,0.02776148582600202
stats.alpha_precision.authenticity_OC,0.017595307917888565
stats.alpha_precision.delta_precision_alpha_naive,0.9634206357231941
stats.alpha_precision.delta_coverage_beta_naive,0.410752688172043
stats.alpha_precision.authenticity_naive,0.5381231671554252
stats.prdc.precision,0.8768328445747801
stats.prdc.recall,0.9847467968273338
stats.prdc.density,0.809384164222874
stats.prdc.coverage,0.673581452104942
performance.linear_model.gt,0.6775116107744574
performance.linear_model.syn_id,-0.47933569989545044
performance.linear_model.syn_ood,-0.5739936675228506
performance.mlp.gt,-6192.146104570998
performance.mlp.syn_id,-2189.5527926799086
performance.mlp.syn_ood,-2054.4130489998497
performance.xgb.gt,0.955559134422183
performance.xgb.syn_id,0.9407537347713385
performance.xgb.syn_ood,0.9391442483991549
performance.feat_rank_distance.corr,0.5454545454545454
performance.feat_rank_distance.pvalue,0.013770768197851531
detection.detection_xgb.mean,0.9008903503439226
detection.detection_gmm.mean,0.47656809539368294
detection.detection_linear.mean,0.5673995501483223
privacy.delta-presence.score,6.499999989166667
privacy.k-anonymization.gt,3.0
privacy.k-anonymization.syn,5.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,3.0
privacy.distinct l-diversity.syn,5.00000001
privacy.identifiability_score.,0.19097010372178158
privacy.identifiability_score._privacy.identifiability_score.OC,0.01525320317266626
prdc_precision,0.6173
prdc_recall,0.7578
nn_identifiability,0.5841
coverage_score,1.0
mmd,0.0025
