metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.01579037570438381
sanity.close_values_probability.score,0.9903686482896048
sanity.distant_values_probability.score,0.0029890401859847225
stats.jensenshannon_dist.marginal,0.0049489535921165605
stats.inv_kl_divergence.marginal,0.8818863819745311
stats.ks_test.marginal,0.9312663203065064
stats.max_mean_discrepancy.joint,0.0015879731939190604
stats.wasserstein_dist.joint,2.0584757328033447
stats.alpha_precision.delta_precision_alpha_OC,0.8807459207459207
stats.alpha_precision.delta_coverage_beta_OC,0.4951048951048951
stats.alpha_precision.authenticity_OC,0.4979020979020979
stats.alpha_precision.delta_precision_alpha_naive,0.9825576722128446
stats.alpha_precision.delta_coverage_beta_naive,0.36615384615384616
stats.alpha_precision.authenticity_naive,0.5244755244755245
stats.prdc.precision,0.9846153846153847
stats.prdc.recall,0.9420458319495184
stats.prdc.density,0.986013986013986
stats.prdc.coverage,0.3068747924277649
performance.linear_model.gt,0.7135184390739095
performance.linear_model.syn_id,0.7021994057356112
performance.linear_model.syn_ood,0.702186765318776
performance.mlp.gt,0.49823424685520823
performance.mlp.syn_id,0.5
performance.mlp.syn_ood,0.5
performance.xgb.gt,0.909559206620799
performance.xgb.syn_id,0.8549121576897892
performance.xgb.syn_ood,0.8553944128349482
performance.feat_rank_distance.corr,0.28058317606556515
performance.feat_rank_distance.pvalue,3.3182902466292934e-48
detection.detection_xgb.mean,0.8050351708505717
detection.detection_gmm.mean,0.5100262706510896
detection.detection_linear.mean,0.49968719691000885
privacy.delta-presence.score,17.999999989411762
privacy.k-anonymization.gt,4.0
privacy.k-anonymization.syn,2.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,4.0
privacy.distinct l-diversity.syn,2.00000001
privacy.identifiability_score.,0.07173696446363334
privacy.identifiability_score._privacy.identifiability_score.OC,0.09315841912985719
prdc_precision,0.5455
prdc_recall,0.7061
nn_identifiability,0.6366
coverage_score,1.0
mmd,0.0039
