metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.008831648047964246
sanity.close_values_probability.score,0.990909090909091
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.011945368146977265
stats.inv_kl_divergence.marginal,0.8341139610283765
stats.ks_test.marginal,0.8582359307359307
stats.max_mean_discrepancy.joint,0.004964089879011625
stats.wasserstein_dist.joint,0.039151255041360855
stats.alpha_precision.delta_precision_alpha_OC,0.9515081853012888
stats.alpha_precision.delta_coverage_beta_OC,0.37636363636363634
stats.alpha_precision.authenticity_OC,0.5
stats.alpha_precision.delta_precision_alpha_naive,0.9004040404040404
stats.alpha_precision.delta_coverage_beta_naive,0.4565656565656565
stats.alpha_precision.authenticity_naive,0.5848484848484848
stats.prdc.precision,1.0
stats.prdc.recall,0.9181818181818182
stats.prdc.density,1.038857142857143
stats.prdc.coverage,0.9606060606060606
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5049786944243054
performance.linear_model.syn_ood,0.49265109982834854
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-2.2986791848899997
performance.mlp.syn_ood,-3.2357565478546264
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.4144364605627455
performance.xgb.syn_ood,0.4274594247090671
performance.feat_rank_distance.corr,0.7807200583588265
performance.feat_rank_distance.pvalue,0.015074907310598048
detection.detection_xgb.mean,0.8101875901875901
detection.detection_gmm.mean,0.5375757575757577
detection.detection_linear.mean,0.6249062049062049
privacy.delta-presence.score,1.4571428567265305
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,8.00000001
privacy.k-map.score,8.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,8.00000001
privacy.identifiability_score.,0.5181818181818182
privacy.identifiability_score._privacy.identifiability_score.OC,0.5606060606060606
prdc_precision,0.861
prdc_recall,0.8182
nn_identifiability,0.5866
coverage_score,1.0
mmd,0.0251
