metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.009136689417067351
sanity.close_values_probability.score,0.990909090909091
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.012428331043006297
stats.inv_kl_divergence.marginal,0.8237333440891775
stats.ks_test.marginal,0.8477272727272727
stats.max_mean_discrepancy.joint,0.006060606060606061
stats.wasserstein_dist.joint,0.04515798017382622
stats.alpha_precision.delta_precision_alpha_OC,0.9531313131313132
stats.alpha_precision.delta_coverage_beta_OC,0.4313131313131312
stats.alpha_precision.authenticity_OC,0.5272727272727272
stats.alpha_precision.delta_precision_alpha_naive,0.9189341692789968
stats.alpha_precision.delta_coverage_beta_naive,0.39555555555555555
stats.alpha_precision.authenticity_naive,0.5545454545454546
stats.prdc.precision,0.996969696969697
stats.prdc.recall,0.9303030303030303
stats.prdc.density,1.0569696969696971
stats.prdc.coverage,0.9333333333333333
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.4811677875570761
performance.linear_model.syn_ood,0.4722669959991995
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-2.2990474590372014
performance.mlp.syn_ood,-3.2362758336024404
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.3484124472725544
performance.xgb.syn_ood,0.3477479917290843
performance.feat_rank_distance.corr,0.7807200583588265
performance.feat_rank_distance.pvalue,0.015074907310598048
detection.detection_xgb.mean,0.8000918273645548
detection.detection_gmm.mean,0.5869375573921027
detection.detection_linear.mean,0.6456382001836548
privacy.delta-presence.score,4.1249999948437495
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,5.00000001
privacy.k-map.score,6.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,5.00000001
privacy.identifiability_score.,0.3696969696969697
privacy.identifiability_score._privacy.identifiability_score.OC,0.38181818181818183
prdc_precision,0.8303
prdc_recall,0.8455
nn_identifiability,0.6223
coverage_score,1.0
mmd,0.0281
