metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007678936436458599
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.012001974184998605
stats.inv_kl_divergence.marginal,0.8456800043725006
stats.ks_test.marginal,0.8537272727272727
stats.max_mean_discrepancy.joint,0.005696969696969697
stats.wasserstein_dist.joint,0.03793085739016533
stats.alpha_precision.delta_precision_alpha_OC,0.9539463601532567
stats.alpha_precision.delta_coverage_beta_OC,0.45979797979797987
stats.alpha_precision.authenticity_OC,0.5363636363636364
stats.alpha_precision.delta_precision_alpha_naive,0.9482828282828283
stats.alpha_precision.delta_coverage_beta_naive,0.45171717171717174
stats.alpha_precision.authenticity_naive,0.5393939393939394
stats.prdc.precision,1.0
stats.prdc.recall,0.9242424242424242
stats.prdc.density,1.0469333333333333
stats.prdc.coverage,0.9696969696969697
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.506429708911605
performance.linear_model.syn_ood,0.4954247104783388
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-2.298351492976599
performance.mlp.syn_ood,-3.235301564639451
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.24685634194220157
performance.xgb.syn_ood,0.24317965736783806
performance.feat_rank_distance.corr,0.7999999999999999
performance.feat_rank_distance.pvalue,0.013981724353829097
detection.detection_xgb.mean,0.7574545454545455
detection.detection_gmm.mean,0.5113939393939393
detection.detection_linear.mean,0.6505050505050505
privacy.delta-presence.score,4.1249999948437495
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,2.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,2.00000001
privacy.identifiability_score.,0.45151515151515154
privacy.identifiability_score._privacy.identifiability_score.OC,0.5363636363636364
prdc_precision,0.8667
prdc_recall,0.8788
nn_identifiability,0.5889
coverage_score,1.0
mmd,0.0275
