metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.007681503172833141
sanity.close_values_probability.score,0.9939393939393939
sanity.distant_values_probability.score,0.0030303030303030303
stats.jensenshannon_dist.marginal,0.009521179480532145
stats.inv_kl_divergence.marginal,0.8772329379380039
stats.ks_test.marginal,0.872750946969697
stats.max_mean_discrepancy.joint,0.005871212121212121
stats.wasserstein_dist.joint,0.03548933565616608
stats.alpha_precision.delta_precision_alpha_OC,0.958571926158133
stats.alpha_precision.delta_coverage_beta_OC,0.49070707070707076
stats.alpha_precision.authenticity_OC,0.5151515151515151
stats.alpha_precision.delta_precision_alpha_naive,0.9385858585858585
stats.alpha_precision.delta_coverage_beta_naive,0.42101010101010095
stats.alpha_precision.authenticity_naive,0.5212121212121212
stats.prdc.precision,1.0
stats.prdc.recall,0.9454545454545454
stats.prdc.density,1.0431818181818182
stats.prdc.coverage,0.9181818181818182
performance.linear_model.gt,0.5104160533806608
performance.linear_model.syn_id,0.5117436616752893
performance.linear_model.syn_ood,0.5067894562145591
performance.mlp.gt,-2.2988603336741944
performance.mlp.syn_id,-2.297937147194185
performance.mlp.syn_ood,-3.234726694241263
performance.xgb.gt,0.4757466193148698
performance.xgb.syn_id,0.3417989886301295
performance.xgb.syn_ood,0.3436323392541504
performance.feat_rank_distance.corr,0.7999999999999999
performance.feat_rank_distance.pvalue,0.013981724353829097
detection.detection_xgb.mean,0.7664496067312969
detection.detection_gmm.mean,0.47407932443143713
detection.detection_linear.mean,0.6032205353332114
privacy.delta-presence.score,5.999999940000001
privacy.k-anonymization.gt,1.0
privacy.k-anonymization.syn,7.00000001
privacy.k-map.score,1.0
privacy.distinct l-diversity.gt,1.0
privacy.distinct l-diversity.syn,7.00000001
privacy.identifiability_score.,0.45454545454545453
privacy.identifiability_score._privacy.identifiability_score.OC,0.4090909090909091
prdc_precision,0.8324
prdc_recall,0.8576
nn_identifiability,0.583
coverage_score,1.0
mmd,0.0135
