metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.012699821644561618
sanity.close_values_probability.score,0.9925273995350382
sanity.distant_values_probability.score,0.002656924609764198
stats.jensenshannon_dist.marginal,0.006180849535044349
stats.inv_kl_divergence.marginal,0.8783055776861856
stats.ks_test.marginal,0.9197089781910772
stats.max_mean_discrepancy.joint,0.0012318426283714746
stats.wasserstein_dist.joint,1.7982957363128662
stats.alpha_precision.delta_precision_alpha_OC,0.06666666666666665
stats.alpha_precision.delta_coverage_beta_OC,0.0014933333333334575
stats.alpha_precision.authenticity_OC,0.0016
stats.alpha_precision.delta_precision_alpha_naive,0.95584
stats.alpha_precision.delta_coverage_beta_naive,0.23306666666666664
stats.alpha_precision.authenticity_naive,0.6264
stats.prdc.precision,0.988
stats.prdc.recall,0.9377283294586516
stats.prdc.density,1.0137600000000002
stats.prdc.coverage,0.4214546662238459
performance.linear_model.gt,0.7135184390739095
performance.linear_model.syn_id,0.7397348613430573
performance.linear_model.syn_ood,0.7394344431313359
performance.mlp.gt,0.49823424685520823
performance.mlp.syn_id,0.5
performance.mlp.syn_ood,0.5
performance.xgb.gt,0.909559206620799
performance.xgb.syn_id,0.8387462906102721
performance.xgb.syn_ood,0.8390859923653491
performance.feat_rank_distance.corr,0.3345066951932017
performance.feat_rank_distance.pvalue,9.428052949839737e-68
detection.detection_xgb.mean,0.9261718829351677
detection.detection_gmm.mean,0.5096913668132504
detection.detection_linear.mean,0.5413132578817497
privacy.delta-presence.score,11.096774189968782
privacy.k-anonymization.gt,4.0
privacy.k-anonymization.syn,3.00000001
privacy.k-map.score,9.0
privacy.distinct l-diversity.gt,4.0
privacy.distinct l-diversity.syn,3.00000001
privacy.identifiability_score.,0.10993025572899369
privacy.identifiability_score._privacy.identifiability_score.OC,0.15675855197608768
prdc_precision,0.5152
prdc_recall,0.5071
nn_identifiability,0.6463
coverage_score,1.0
mmd,0.0092
