metric,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.14864565900158444,0.22186705955224542,0.18482763360947918,0.03661823031966235
sanity.close_values_probability.score,0.5115633672525439,0.8038852913968547,0.6577243293246994,0.1461609620721554
sanity.distant_values_probability.score,0.0009250693802035153,0.004625346901017576,0.0021584952204748687,0.0021363562227183193
stats.jensenshannon_dist.marginal,0.008430021584383364,0.009851450128374328,0.00917354986306113,0.0007129832070404625
stats.inv_kl_divergence.marginal,0.9544556146972075,0.9679569315857477,0.961353634139615,0.006755481864568299
stats.ks_test.marginal,0.9111036147259917,0.9136553945249598,0.9127610983924447,0.0014369190807329054
stats.max_mean_discrepancy.joint,0.005568202645057682,0.007215656742421278,0.006530142860675954,0.0008578081890923252
stats.wasserstein_dist.joint,0.04130518436431885,0.0428646020591259,0.042012022187312446,0.0007898584970201899
stats.alpha_precision.delta_precision_alpha_OC,0.7767418546365915,0.843358024691358,0.8167740338500572,0.03528553324042754
stats.alpha_precision.delta_coverage_beta_OC,0.4217543859649122,0.4820740740740742,0.45031319038336587,0.0302870628676007
stats.alpha_precision.authenticity_OC,0.5081481481481481,0.5548872180451128,0.5301475912002228,0.023489713048952778
stats.alpha_precision.delta_precision_alpha_naive,0.9024197530864198,0.934716049382716,0.9227545406726693,0.017701597045705748
stats.alpha_precision.delta_coverage_beta_naive,0.33846913580246907,0.36200501253132844,0.35187821405365266,0.012106378225245556
stats.alpha_precision.authenticity_naive,0.6162962962962963,0.631578947368421,0.6258349577647823,0.008318023014483443
stats.prdc.precision,0.8474074074074074,0.9051851851851852,0.8714155759769796,0.03010036866453208
stats.prdc.recall,0.9805735430157262,0.9925994449583718,0.9873573851372187,0.0061594154657533375
stats.prdc.density,0.6865185185185185,0.7442962962962963,0.7149332590736099,0.028900559703263495
stats.prdc.coverage,0.7705827937095282,0.793709528214616,0.7813752698119026,0.011640201102791762
performance.linear_model.gt,0.8229259663143148,0.8229259663143148,0.8229259663143148,0.0
performance.linear_model.syn_id,0.8137302732292264,0.823544694819021,0.819099988181348,0.004972167341502684
performance.linear_model.syn_ood,0.8148819631103038,0.8243282825193715,0.8200734105904407,0.0047922977700545835
performance.mlp.gt,0.7811703360489194,0.7811703360489194,0.7811703360489194,0.0
performance.mlp.syn_id,0.6477746355803689,0.8173971356074452,0.7224625478745755,0.08660481527373519
performance.mlp.syn_ood,0.6973684210526316,0.7970647773279352,0.7334008097165992,0.05529438470574166
performance.xgb.gt,0.9193500817760143,0.9193500817760143,0.9193500817760144,1.3597399555105182e-16
performance.xgb.syn_id,0.8721488722409934,0.8842442206629537,0.8768457838748193,0.006484446158437598
performance.xgb.syn_ood,0.8706990550513446,0.8847395986942649,0.8763183163469358,0.007427833326615106
performance.feat_rank_distance.corr,0.2339236187322766,0.2693522232653409,0.2569983552083937,0.019999981738389957
performance.feat_rank_distance.pvalue,3.5571029604489093e-09,2.939650581571996e-07,1.0064408699084154e-07,1.6742141535793254e-07
detection.detection_xgb.mean,0.7395322169754668,0.790798012554285,0.7732117845263314,0.029176910937110185
detection.detection_gmm.mean,0.49269321335330896,0.5226949863137105,0.5084527770295879,0.015058332193686562
detection.detection_linear.mean,0.5437752727954038,0.5582468566877169,0.5495918418836975,0.007641941222549716
privacy.delta-presence.score,2.6249999967187496,3.2083333319965277,2.931623929704895,0.2928149660990348
privacy.k-anonymization.gt,21.0,21.0,21.0,0.0
privacy.k-anonymization.syn,12.00000001,22.00000001,17.66666667666667,5.131601439446884
privacy.k-map.score,8.0,15.0,12.0,3.605551275463989
privacy.distinct l-diversity.gt,21.0,21.0,21.0,0.0
privacy.distinct l-diversity.syn,12.00000001,22.00000001,17.66666667666667,5.131601439446884
privacy.identifiability_score.,0.23866790009250693,0.2627197039777983,0.24915201973481346,0.01231883093150673
privacy.identifiability_score._privacy.identifiability_score.OC,0.31637372802960223,0.34320074005550416,0.33024976873265494,0.013437408923528162
prdc_precision,0.7185,0.7585,0.7364333333333333,0.02031780828075046
prdc_recall,0.8659,0.9167,0.8926999999999999,0.025515485494107277
nn_identifiability,0.6747,0.7054,0.6950666666666666,0.0176386885377948
coverage_score,1.0,1.0,1.0,0.0
mmd,0.0012,0.0013,0.0012333333333333332,5.7735026918962605e-05
