metric,value
sanity.data_mismatch.score,0.0
sanity.common_rows_proportion.score,0.0
sanity.nearest_syn_neighbor_distance.mean,0.09401479752537271
sanity.close_values_probability.score,0.9011566771819137
sanity.distant_values_probability.score,0.0013144058885383807
stats.jensenshannon_dist.marginal,0.00466804409119514
stats.inv_kl_divergence.marginal,0.9571165677892136
stats.ks_test.marginal,0.9444364783481501
stats.max_mean_discrepancy.joint,0.0018780256669797114
stats.wasserstein_dist.joint,0.741853654384613
stats.alpha_precision.delta_precision_alpha_OC,0.6693716233365967
stats.alpha_precision.delta_coverage_beta_OC,0.39957939011566757
stats.alpha_precision.authenticity_OC,0.5126182965299685
stats.alpha_precision.delta_precision_alpha_naive,0.9607092352877189
stats.alpha_precision.delta_coverage_beta_naive,0.4605678233438486
stats.alpha_precision.authenticity_naive,0.5236593059936908
stats.prdc.precision,0.9763406940063092
stats.prdc.recall,0.9605678233438486
stats.prdc.density,0.9965299684542587
stats.prdc.coverage,0.45662460567823343
performance.linear_model.gt,0.8280465056642342
performance.linear_model.syn_id,0.8257160260006593
performance.linear_model.syn_ood,0.8256411086604991
performance.mlp.gt,0.6730413353499314
performance.mlp.syn_id,0.7054882305661504
performance.mlp.syn_ood,0.6799005088478772
performance.xgb.gt,0.9172376192597799
performance.xgb.syn_id,0.8835818675313469
performance.xgb.syn_ood,0.8838596368236257
performance.feat_rank_distance.corr,0.4491112801715194
performance.feat_rank_distance.pvalue,9.590288330431396e-77
detection.detection_xgb.mean,0.7484751971274357
detection.detection_gmm.mean,0.5118802234667759
detection.detection_linear.mean,0.5666046050385206
privacy.delta-presence.score,12.899999993549999
privacy.k-anonymization.gt,14.0
privacy.k-anonymization.syn,2.00000001
privacy.k-map.score,2.0
privacy.distinct l-diversity.gt,14.0
privacy.distinct l-diversity.syn,2.00000001
privacy.identifiability_score.,0.11698212407991587
privacy.identifiability_score._privacy.identifiability_score.OC,0.13906414300736067
prdc_precision,0.8454
prdc_recall,0.9243
nn_identifiability,0.5278
coverage_score,1.0
mmd,0.0016
